"A2A.MI","AMP.MI","ATL.MI","AZM.MI","BGN.MI","BMED.MI","BAMI.MI","BPE.MI","BZU.MI","CPR.MI","CNHI.MI","DIA.MI","ENEL.MI","ENI.MI","EXO.MI","FBK.MI","G.MI","HER.MI","IP.MI","ISP.MI","LDO.MI","MB.MI","MONC.MI","PRY.MI","REC.MI","SPM.MI","SRG.MI","STLA.MI","STM.MI","TIT.MI","TEN.MI","TRN.MI","UCG.MI","UNI.MI","date"
0.648699,4.998489,18.260782,12.583153,17.243156,3.982327,7.873472,6.02474,9.638618,2.685503,5.964466,31.476599,3.013405,10.562515,33.938393,3.845416,12.91742,1.717926,11.228682,1.639886,8.412073,5.933655,11.780132,13.22714,11.940849,10.025224,3.091206,4.859614,6.012754,0.947882,10.004397,3.01685,23.460304,3.522668,"2015-01-22"
0.639353,5.151554,18.443808,12.997912,17.632875,4.033689,7.500103,5.860642,9.871436,2.709122,5.885466,31.940691,3.031695,10.52754,33.909775,3.915899,12.924471,1.734303,11.653296,1.643658,8.534395,5.917531,12.255816,13.562217,12.078002,9.649278,3.101327,5.0665,6.20506,0.991211,10.020377,2.998379,22.970278,3.51948,"2015-01-23"
0.642079,5.113288,18.834812,13.3361,17.904942,4.119295,7.591808,5.804379,9.945937,2.75636,5.938132,32.122692,3.107907,10.62547,34.75848,3.95196,12.882166,1.75723,11.889194,1.653719,8.628491,6.098927,12.423703,13.671117,12.120861,9.918706,3.140365,5.255777,6.435826,0.984395,10.16421,3.023006,23.051949,3.594397,"2015-01-26"
0.662716,5.127637,18.668428,13.112768,17.816704,4.177505,7.552506,5.804379,9.768996,2.744551,5.740633,32.122692,3.065228,10.646454,34.129105,3.966713,13.044337,1.762143,11.775963,1.648689,8.492053,6.223887,12.125237,13.578969,12.369452,10.319715,3.151932,5.097312,6.281981,0.985368,10.292063,3.013771,22.664005,3.565705,"2015-01-27"
0.659601,5.113288,18.776577,13.202102,17.868177,4.245989,7.414949,5.663724,9.694495,2.758722,5.758189,32.122692,3.05151,10.632464,34.310295,3.912621,12.931522,1.793259,11.936373,1.628567,8.694358,6.086834,12.311777,13.813523,12.300875,10.300918,3.144703,5.088509,6.089676,0.973684,10.108274,3.015311,21.928955,3.568893,"2015-01-28"
0.654539,5.065454,19.042793,13.214865,17.978474,4.328169,7.369097,5.715298,9.927312,2.872095,5.924965,32.122692,3.080471,10.4436,34.7108,3.858529,13.171258,1.763781,11.889194,1.648689,9.014278,6.223887,12.237161,13.721378,12.258017,9.837251,3.163498,5.150135,6.320443,0.990237,9.676774,3.033781,22.01063,3.549766,"2015-01-29"
0.657265,5.070239,18.992876,13.202102,18.191713,4.317897,7.349446,5.621527,10.13219,2.834303,5.911799,32.149994,3.053035,10.422611,34.53915,3.910981,13.18536,1.776882,11.898629,1.633598,9.117784,6.199702,12.293124,13.738132,12.558037,10.062819,3.134582,5.150135,6.320443,1.005816,9.972432,2.987605,21.377672,3.562517,"2015-01-30"
0.65376,4.960223,18.868088,13.272292,18.235834,4.389804,7.480453,5.67779,10.439509,2.841389,5.815244,32.07719,3.019502,10.55552,34.110035,3.963434,13.058439,1.758868,11.785398,1.612219,9.08485,6.211795,12.377069,13.746508,12.052287,10.582877,3.130244,5.167741,6.299076,0.982447,10.244118,2.999919,21.663521,3.578457,"2015-02-02"
0.661158,5.051105,19.034473,13.821051,18.45643,4.41035,7.893123,5.823133,10.812016,2.865009,5.929355,32.07719,3.100286,10.947241,34.70126,4.024082,13.18536,1.763781,11.842014,1.660007,9.193059,6.328694,12.274469,14.240747,12.266587,10.952558,3.127352,5.304198,6.350358,0.996079,10.803469,3.004536,22.766096,3.729884,"2015-02-03"
0.667388,5.247218,19.084393,13.891241,18.412312,4.393228,8.135485,6.057559,11.156584,2.848475,5.960077,32.213688,3.075898,10.793351,34.82523,4.040473,13.086644,1.760505,11.766528,1.644916,9.320087,6.332726,12.153217,14.098337,11.915133,10.73952,3.060844,5.436253,6.542663,0.991211,10.475849,2.966056,22.602747,3.717132,"2015-02-04"
0.667778,5.180253,19.059429,13.801906,18.529963,4.41035,8.109282,6.048182,10.905143,2.848475,5.98641,32.65049,2.984444,10.975223,34.85384,4.081452,12.966777,1.771969,12.030732,1.618506,9.475343,6.187609,12.153217,14.282631,11.743693,10.983885,3.021806,5.396636,6.495656,0.956158,10.675617,2.930654,22.439405,3.670907,"2015-02-05"
0.661158,5.213735,19.117664,13.96781,18.28731,4.386381,8.207537,6.221657,10.737515,2.846113,5.990798,32.459381,2.97225,10.884286,34.72987,4.14292,12.882166,1.753954,12.040168,1.618506,9.616487,6.187609,12.059946,14.165355,11.760837,11.021481,3.018915,5.326207,6.546936,0.937171,10.579728,2.949125,22.561913,3.666125,"2015-02-06"
0.640132,5.180253,18.618509,13.559433,18.118185,4.444592,7.971726,6.170084,10.728204,2.810684,5.933744,32.031693,2.897564,10.807343,33.928856,4.257659,12.578973,1.732665,11.926937,1.565688,9.390657,6.042492,11.845423,13.972687,11.657971,11.272112,2.927826,5.172143,6.410187,0.924513,10.875386,2.893713,22.0923,3.578457,"2015-02-09"
0.653371,5.185036,19.200859,13.731717,18.537315,4.465137,8.017578,6.141952,10.71889,2.834303,6.047853,32.322887,2.929572,10.786355,34.510544,4.335518,12.797554,1.775244,12.266627,1.628567,9.663534,6.31257,12.087928,14.274255,11.915133,11.102936,2.982769,5.348216,6.619586,0.972224,10.547766,2.930654,22.418989,3.648592,"2015-02-10"
0.661158,5.252001,19.167585,13.648766,17.772585,4.352138,8.05688,6.202903,10.486072,2.815408,5.990798,32.049885,2.940242,10.55552,34.195858,4.286344,12.663583,1.749041,12.285501,1.634855,9.578849,6.235981,11.966675,14.0397,11.837984,10.777116,3.070965,5.343815,6.649499,0.950803,10.507811,2.99684,21.643105,3.40312,"2015-02-11"
0.668167,5.208952,19.051111,13.750861,18.294659,4.437744,8.423697,6.395132,11.082085,2.787065,6.183908,32.213688,2.95396,10.828324,35.921864,4.339616,12.804605,1.801447,12.578011,1.717856,9.748219,6.445594,12.0786,14.106715,12.343735,11.002684,3.073856,5.585915,6.78625,0.953237,10.71557,3.049173,21.765612,3.398339,"2015-02-12"
0.66661,5.271134,18.726662,13.840193,18.265247,4.468561,8.351645,6.33887,10.849267,2.813046,6.21463,31.667694,2.975299,11.080146,35.778824,4.372398,12.931522,1.789984,11.945807,1.771931,9.607077,6.405284,12.087928,14.0397,12.266587,10.852305,3.076749,5.594719,6.679414,0.947395,10.787489,3.043017,22.582331,3.40312,"2015-02-13"
0.664274,5.199386,18.40221,13.846573,18.162302,4.41035,8.364745,6.259165,11.417339,2.779979,6.37263,31.676794,2.944815,10.975223,35.874184,4.409279,12.797554,1.786708,12.040168,1.755583,9.616487,6.518152,12.125237,14.299386,12.62661,10.952558,3.070965,5.590316,6.658046,0.971737,10.92333,3.039938,22.664005,3.395151,"2015-02-16"
0.662327,5.352449,18.510363,13.852953,18.140242,4.471985,8.48265,6.367001,11.836411,2.787065,6.37263,31.986195,2.947863,10.996205,36.131657,4.413377,12.790503,1.768694,12.342114,1.785765,9.597667,6.502028,12.022638,14.324515,12.763765,11.435021,3.049277,5.563906,6.611039,1.012632,10.595711,3.044556,22.74568,3.347331,"2015-02-17"
