"From","To","Depth","Length"
2019-01-15,2019-02-08,-0.0339,19
2019-03-11,2019-03-22,-0.0363,10
2019-03-27,2019-08-07,-0.0763,93
2019-09-04,2019-09-19,-0.0225,12
2019-11-15,2019-11-25,-0.0269,7
