"From","To","Depth","Length"
2019-01-09,2019-02-11,-0.0231,24
2019-02-28,2019-04-24,-0.0295,38
2019-04-30,2019-08-09,-0.0531,73
2019-08-13,2019-08-16,-0.0142,3
2019-10-08,NA,-0.1534,58
