"From","To","Depth","Length"
2019-01-09,2019-02-11,-0.0231,24
2019-02-28,2019-05-13,-0.0445,50
2019-05-23,2019-06-12,-0.0237,15
2019-08-13,2019-08-16,-0.0139,3
2019-09-10,NA,-0.1753,78
