"From","To","Depth","Length"
2019-01-03,2019-01-04,-0.0218,2
2019-01-07,2019-01-29,-0.0519,17
2019-05-27,2019-06-06,-0.0275,9
2019-08-13,2019-10-03,-0.0227,37
2019-10-08,2019-11-22,-0.048,34
