"From","To","Depth","Length"
2019-01-03,2019-01-04,-0.0027,2
2019-01-08,2019-03-27,-0.0719,57
2019-03-28,2019-04-01,-0.0064,3
2019-04-03,2019-04-08,-0.0081,4
2019-04-15,NA,-0.0795,180
