"Tickers","ADF Statistic","p-value","ADF Statistic","p-value"
"DIA.MI",-2.23,0.48,-9.75,0.01
"AMP.MI",-1.89,0.62,-10.16,0.01
"UCG.MI",-1.4,0.83,-9.96,0.01
"BPE.MI",-2.45,0.39,-10.59,0.01
"BMED.MI",-3.19,0.09,-9.92,0.01
"BGN.MI",-1.89,0.63,-9.91,0.01
"AZM.MI",-2.35,0.43,-10.16,0.01
